id,street_id,ward_id,district_id,city_id,country_id,full_address,tsv
1,,,,,1,,
2,,,,,1,,
3,,,,,1,,
4,,,,,1,,
5,,,5.0,1.0,1,quận cầu giấy thành phố hà nội,'cau':2A 'giay':3A 'ha':6A 'noi':7A 'pho':5A 'quan':1A 'thanh':4A
6,,27580.0,784.0,79.0,1,lê thị hà xã tân xuân huyện hóc môn thành phố hồ chí minh,'chi':13A 'ha':3A 'ho':12A 'hoc':8A 'huyen':7A 'le':1A 'minh':14A 'mon':9A 'pho':11A 'tan':5A 'thanh':10A 'thi':2A 'xa':4A 'xuan':6A
7,,,,,1,,
8,,25920.0,723.0,74.0,1,phường tân hiệp huyện tân uyên tỉnh bình dương,"'binh':8A 'duong':9A 'hiep':3A 'huyen':4A 'phuong':1A 'tan':2A,5A 'tinh':7A 'uyen':6A"
9,,27484.0,778.0,79.0,1,đường số 9 phường phú thuận quận 7 thành phố hồ chí minh,'7':8A '9':3A 'chi':12A 'duong':1A 'ho':11A 'minh':13A 'pho':10A 'phu':5A 'phuong':4A 'quan':7A 'so':2A 'thanh':9A 'thuan':6A
10,,27484.0,778.0,79.0,1,đường số 9 phường phú thuận quận 7 thành phố hồ chí minh,'7':8A '9':3A 'chi':12A 'duong':1A 'ho':11A 'minh':13A 'pho':10A 'phu':5A 'phuong':4A 'quan':7A 'so':2A 'thanh':9A 'thuan':6A
11,,,,,1,,
12,,,,,1,,
13,,,768.0,79.0,1,quận phú nhuận thành phố hồ chí minh,'chi':7A 'ho':6A 'minh':8A 'nhuan':3A 'pho':5A 'phu':2A 'quan':1A 'thanh':4A
14,,,,,1,,
15,,,778.0,79.0,1,quận 7 thành phố hồ chí minh,'7':2A 'chi':6A 'ho':5A 'minh':7A 'pho':4A 'quan':1A 'thanh':3A
16,,,786.0,79.0,1,huyện nhà bè thành phố hồ chí minh,'be':3A 'chi':7A 'ho':6A 'huyen':1A 'minh':8A 'nha':2A 'pho':5A 'thanh':4A
17,,,6.0,1.0,1,phố hoàng tích trí quận đống đa thành phố hà nội,"'da':7A 'dong':6A 'ha':10A 'hoang':2A 'noi':11A 'pho':1A,9A 'quan':5A 'thanh':8A 'tich':3A 'tri':4A"
18,,,,79.0,1,thành phố hồ chí minh,'chi':4A 'ho':3A 'minh':5A 'pho':2A 'thanh':1A
19,,,,,1,,
20,,,,,1,,
21,,,,,1,,
22,,,,,1,,
23,,27052.0,768.0,79.0,1,phan xích long phường 7 quận phú nhuận thành phố hồ chí minh,'7':5A 'chi':12A 'ho':11A 'long':3A 'minh':13A 'nhuan':8A 'phan':1A 'pho':10A 'phu':7A 'phuong':4A 'quan':6A 'thanh':9A 'xich':2A
24,,,,,1,,
25,,26734.0,760.0,79.0,1,trần quang khải phường tân định quận 1 thành phố hồ chí minh,'1':8A 'chi':12A 'dinh':6A 'ho':11A 'khai':3A 'minh':13A 'pho':10A 'phuong':4A 'quan':7A 'quang':2A 'tan':5A 'thanh':9A 'tran':1A
26,,26734.0,760.0,79.0,1,trần quang khải phường tân định quận 1 thành phố hồ chí minh,'1':8A 'chi':12A 'dinh':6A 'ho':11A 'khai':3A 'minh':13A 'pho':10A 'phuong':4A 'quan':7A 'quang':2A 'tan':5A 'thanh':9A 'tran':1A
27,,,5.0,1.0,1,quận cầu giấy thành phố hà nội,'cau':2A 'giay':3A 'ha':6A 'noi':7A 'pho':5A 'quan':1A 'thanh':4A
28,,27646.0,786.0,79.0,1,nguyễn hữu thọ xã phước kiển huyện nhà bè thành phố hồ chí minh,'be':9A 'chi':13A 'ho':12A 'huu':2A 'huyen':7A 'kien':6A 'minh':14A 'nguyen':1A 'nha':8A 'pho':11A 'phuoc':5A 'thanh':10A 'tho':3A 'xa':4A
29,,,9.0,1.0,1,quận thanh xuân thành phố hà nội,"'ha':6A 'noi':7A 'pho':5A 'quan':1A 'thanh':2A,4A 'xuan':3A"
30,,,,,1,,
31,,,,,1,,
32,,,,,1,,
33,,,760.0,79.0,1,quận 1 thành phố hồ chí minh,'1':2A 'chi':6A 'ho':5A 'minh':7A 'pho':4A 'quan':1A 'thanh':3A
34,,,,,1,,
35,,,,,1,,
36,,,,,1,,
37,,,3.0,1.0,1,quận tây hồ thành phố hà nội,'ha':6A 'ho':3A 'noi':7A 'pho':5A 'quan':1A 'tay':2A 'thanh':4A
38,,,,1.0,1,thành phố hà nội,'ha':3A 'noi':4A 'pho':2A 'thanh':1A
39,,27409.0,776.0,79.0,1,đồng diều phường 4 quận 8 thành phố hồ chí minh,'4':4A '8':6A 'chi':10A 'dieu':2A 'dong':1A 'ho':9A 'minh':11A 'pho':8A 'phuong':3A 'quan':5A 'thanh':7A
